# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
   28.857715431    0.014725016    0.014725279    0.014722243
   28.917835671    0.012787073    0.012786434    0.012781993
   28.977955912    0.010684437    0.010683312    0.010679029
   29.038076152    0.009388832    0.009387574    0.009384084
   29.098196393    0.008677376    0.008676421    0.008674191
   29.158316633    0.008838748    0.008837887    0.008836401
   29.218436874    0.008938475    0.008937555    0.008936475
   29.278557114    0.008688535    0.008687808    0.008686440
   29.338677355    0.008609272    0.008608937    0.008607250
   29.398797595    0.008701609    0.008701458    0.008699942
   29.458917836    0.008609637    0.008609816    0.008607914
   29.519038076    0.008578237    0.008578749    0.008576167
   29.579158317    0.007932427    0.007932643    0.007930210
   29.639278557    0.008016234    0.008015879    0.008013598
   29.699398798    0.008068010    0.008067332    0.008065514
   29.759519038    0.006780663    0.006780141    0.006779087
   29.819639279    0.005811210    0.005810856    0.005810171
   29.879759519    0.005532474    0.005532171    0.005531636
   29.939879760    0.005826311    0.005825969    0.005825450
   30.000000000    0.006804865    0.006804399    0.006803749
