# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    17.838711590   17.838713118   17.838710695
    9.579579580   -3.187491989   -3.187492376   -3.187491941
    9.609609610   -3.010599407   -3.010599759   -3.010599373
    9.639639640   -2.858577841   -2.858578177   -2.858577836
    9.669669670   -2.706155546   -2.706155874   -2.706155571
    9.699699700   -2.542617260   -2.542617561   -2.542617285
    9.729729730   -2.425528036   -2.425528291   -2.425528017
    9.759759760   -2.434084217   -2.434084398   -2.434084098
    9.789789790   -2.559736856   -2.559736919   -2.559736614
    9.819819820   -2.708760538   -2.708760496   -2.708760243
    9.849849850   -2.816675841   -2.816675816   -2.816675613
    9.879879880   -2.881624058   -2.881624144   -2.881623960
    9.909909910   -2.870264425   -2.870264605   -2.870264439
    9.939939940   -2.825727833   -2.825728063   -2.825727908
    9.969969970   -2.839016049   -2.839016321   -2.839016165
   10.000000000   -2.859995202   -2.859995511   -2.859995345
   10.030030030   -2.799527715   -2.799528046   -2.799527872
   10.060060060   -2.700069523   -2.700069876   -2.700069695
   10.090090090   -2.596131794   -2.596132177   -2.596131988
   10.120120120   -2.476917734   -2.476918142   -2.476917943
   10.150150150   -2.374499597   -2.374500012   -2.374499801
   10.180180180   -2.324313984   -2.324314371   -2.324314162
   10.210210210   -2.292748261   -2.292748531   -2.292748394
   10.240240240   -2.261197783   -2.261197760   -2.261197822
   10.270270270   -2.220547261   -2.220546878   -2.220547198
   10.300300300   -2.147553106   -2.147552523   -2.147552995
   10.330330330   -2.121679137   -2.121678515   -2.121679006
   10.360360360   -2.262003459   -2.262002892   -2.262003312
   10.390390390   -2.479956875   -2.479956401   -2.479956722
   10.420420420   -2.553802335   -2.553801929   -2.553802183
   10.450450450   -2.520789786   -2.520789436   -2.520789633
   10.480480480   -2.546999817   -2.546999556   -2.546999646
   10.510510511   -2.657329728   -2.657329577   -2.657329521
   10.540540541   -2.695869986   -2.695869907   -2.695869757
   10.570570571   -2.641457642   -2.641457605   -2.641457420
   10.600600601   -2.578903625   -2.578903631   -2.578903433
   10.630630631   -2.512919526   -2.512919568   -2.512919364
   10.660660661   -2.415593348   -2.415593415   -2.415593218
   10.690690691   -2.310213241   -2.310213349   -2.310213181
   10.720720721   -2.212644672   -2.212644848   -2.212644738
   10.750750751   -2.117254241   -2.117254450   -2.117254404
   10.780780781   -2.057725487   -2.057725625   -2.057725651
   10.810810811   -2.088568102   -2.088568039   -2.088568184
   10.840840841   -2.157020053   -2.157019765   -2.157020050
   10.870870871   -2.165674340   -2.165673942   -2.165674315
   10.900900901   -2.131441054   -2.131440647   -2.131441058
   10.930930931   -2.066813007   -2.066812633   -2.066813044
   10.960960961   -1.985533900   -1.985533572   -1.985533932
   10.990990991   -1.933822845   -1.933822570   -1.933822836
   11.021021021   -1.960113780   -1.960113545   -1.960113720
